Movie Title: The Boy and the Heron, Year: 2023
Movie Title: Migration, Year: 2023
Movie Title: Movie, Year: 2023
Movie Title: Spider-Man: Across the Spider-Verse, Year: 2023
Movie Title: Trolls Band Together, Year: 2023
Movie Title: Chicken Run: Dawn of the Nugget, Year: 2023
Movie Title: Wish, Year: 2023
Movie Title: Leo, Year: 2023
Movie Title: The Lord of the Rings: The War of the Rohirrim, Year: 2024
Movie Title: Elemental, Year: 2023
Movie Title: Sing 2, Year: 2021
Movie Title: Teenage Mutant Ninja Turtles: Mutant Mayhem, Year: 2023
Movie Title: Kung Fu Panda 4, Year: 2024
Movie Title: Chicken Run, Year: 2000
Movie Title: The Jungle Book, Year: 2016
Movie Title: Spirited Away, Year: 2001
Movie Title: The Grinch, Year: 2018
Movie Title: Spider-Man: Into the Spider-Verse, Year: 2018
Movie Title: The Lion King, Year: 2019
Movie Title: Sing, Year: 2016
Movie Title: Moana, Year: 2016
Movie Title: Inside Out 2, Year: 2024
Movie Title: Howl's Moving Castle, Year: 2004
Movie Title: Encanto, Year: 2021
Movie Title: Puss in Boots: The Last Wish, Year: 2022
Movie Title: The Polar Express, Year: 2004
Movie Title: Klaus, Year: 2019
Movie Title: Cars, Year: 2006
Movie Title: Ratatouille, Year: 2007
Movie Title: Trolls, Year: 2016
Movie Title: Spider-Man: Beyond the Spider-Verse, Year: 2016
Movie Title: Kung Fu Panda, Year: 2008
Movie Title: Frozen, Year: 2013
Movie Title: Coco, Year: 2017
Movie Title: Zootopia, Year: 2016
Movie Title: Inside Out, Year: 2015
Movie Title: Soul, Year: 2020
Movie Title: DC League of Super-Pets, Year: 2022
Movie Title: The Incredibles, Year: 2004
Movie Title: PAW Patrol: The Mighty Movie, Year: 2023
Movie Title: Trolls World Tour, Year: 2020
Movie Title: Toy Story, Year: 1995
Movie Title: Transformers One, Year: 2024
Movie Title: How to Train Your Dragon, Year: 2010
Movie Title: Hercules, Year: 1997
Movie Title: Princess Mononoke, Year: 1997
Movie Title: Finding Nemo, Year: 2003
Movie Title: Despicable Me 4, Year: 2024
Movie Title: The Bad Guys, Year: 2022
